idfield;cropseason;village;soil;area;tillagesystem;CAyear;sowdate;x24d;glypho;manure;urea;npk;nitrogen;rainsow;rainflow;raincycle;rainyear;yield
F2006070001;Y06_07;Antsahamamy;hillside;10.0;till;Y0;2006-12-27;N;N;1666.7;70.0;150.0;48.7;65.2;225.5;1263.0;1331.2;3150.0
F2006070002;Y06_07;Antsahamamy;hillside;15.0;ca;Y1;2006-12-26;N;N;2500.0;0.0;0.0;0.0;63.7;103.5;1263.0;1331.2;805.0
F2006070003;Y06_07;Antsahamamy;lowland;3.1;till;Y0;2006-12-20;N;N;4166.7;0.0;64.7;7.117;44.7;6.0;1307.7;1331.2;3786.4
F2006070004;Y06_07;Antsahamamy;lowland;6.3;till;Y0;2006-12-20;N;N;4000.0;31.7;47.6;19.818;44.7;6.0;1307.7;1331.2;3714.3
F2006070005;Y06_07;Antsahamamy;hillside;41.0;till;Y0;2006-12-21;N;N;3225.8;36.6;73.2;24.888;44.7;6.0;1307.7;1331.2;3248.8
F2006070006;Y06_07;Antsahamamy;lowland;4.2;till;Y0;2006-12-18;N;N;9523.8;47.6;95.2;32.368;49.5;6.0;1307.7;1331.2;2142.9
F2006070007;Y06_07;Antsahamamy;hillside;15.0;till;Y0;2006-12-19;N;N;3333.3;100.0;100.0;57.0;49.5;6.0;1307.7;1331.2;1500.0
F2006070008;Y06_07;Antsahamamy;hillside;10.8;till;Y0;2006-12-20;N;N;3333.3;0.0;55.6;6.116;44.7;6.0;1307.7;1331.2;1805.6
F2006070009;Y06_07;Antsahamamy;lowland;8.0;till;Y0;2006-12-29;N;N;4166.7;50.0;125.0;36.75;72.3;280.0;1263.0;1331.2;3500.0
F2006070010;Y06_07;Antsahamamy;hillside;6.0;till;Y0;2006-12-06;N;N;4166.7;33.3;0.0;15.318;17.8;305.6;1323.0;1331.2;2816.7
F2006070011;Y06_07;Antsahamamy;lowland;10.0;till;Y0;2006-12-25;N;N;0.0;0.0;100.0;11.0;62.2;15.4;1299.9;1331.2;4000.0
F2006070012;Y06_07;Antsahamamy;hillside;19.0;till;Y0;2006-12-18;N;N;5263.2;42.1;52.6;25.152;49.5;6.0;1307.7;1331.2;1184.2
F2006070013;Y06_07;Antsahamamy;hillside;7.0;ca;Y1;2007-01-01;N;N;3571.4;85.7;285.7;70.849;103.5;294.1;1258.0;1331.2;1500.0
F2006070014;Y06_07;Antsahamamy;hillside;20.3;till;Y0;2006-12-30;N;N;4926.1;0.0;118.2;13.002;111.3;280.0;1258.0;1331.2;3940.9
F2006070015;Y06_07;Antsahamamy;lowland;10.0;till;Y0;2006-12-25;N;N;2500.0;40.0;120.0;31.6;62.2;15.4;1299.9;1331.2;2000.0
F2006070016;Y06_07;Antsahamamy;lowland;10.0;till;Y0;2006-12-25;N;N;3500.0;40.0;120.0;31.6;62.2;15.4;1299.9;1331.2;2000.0
F2006070018;Y06_07;Antsahamamy;hillside;30.0;ca;Y1;2006-12-20;N;N;2500.0;33.3;133.3;29.981;44.7;6.0;1307.7;1331.2;1690.0
F2006070019;Y06_07;Antsahamamy;hillside;25.0;ca;Y1;2006-12-29;N;N;2750.0;72.0;148.0;49.4;72.3;280.0;1263.0;1331.2;3328.0
F2006070020;Y06_07;Antsahamamy;hillside;5.0;ca;Y1;2007-01-03;N;N;4000.0;50.0;150.0;39.5;69.1;294.1;1244.0;1331.2;3120.0
F2006070021;Y06_07;Antsahamamy;hillside;26.0;till;Y0;2006-12-03;N;N;4807.7;26.9;57.7;18.721;13.0;430.7;1308.7;1331.2;2692.3
F2006070022;Y06_07;Antsahamamy;lowland;10.0;till;Y0;2006-12-25;N;N;1666.7;0.0;50.0;5.5;62.2;15.4;1299.9;1331.2;3000.0
F2006070023;Y06_07;Antsahamamy;hillside;6.0;till;Y0;2006-12-12;N;N;6250.0;83.3;100.0;49.318;17.8;130.2;1312.5;1331.2;2100.0
F2006070024;Y06_07;Antsahamamy;hillside;39.0;till;Y0;2006-12-16;N;N;3846.2;35.9;148.7;32.871;25.6;52.5;1307.7;1331.2;2692.3
F2006070025;Y06_07;Antsahamamy;hillside;50.0;ca;Y1;2006-12-14;N;N;3500.0;0.0;60.0;6.6;17.8;113.8;1307.7;1331.2;1200.0
F2006070026;Y06_07;Antsahamamy;hillside;38.0;till;Y0;2006-12-14;N;N;1666.7;26.3;131.6;26.574;17.8;113.8;1307.7;1331.2;1600.0
F2006070027;Y06_07;Antsahamamy;lowland;9.0;till;Y0;2006-12-30;N;N;0.0;33.3;0.0;15.318;111.3;280.0;1258.0;1331.2;555.6
F2006070028;Y06_07;Antsahamamy;lowland;3.5;till;Y0;2006-12-30;N;N;1666.7;85.7;85.7;48.849;111.3;280.0;1258.0;1331.2;1500.0
F2006070029;Y06_07;Antsahamamy;hillside;6.8;till;Y0;2006-12-22;N;N;4977.9;44.2;0.0;20.332;49.7;6.5;1307.7;1331.2;2064.9
F2006070030;Y06_07;Antsahamamy;lowland;16.7;till;Y0;2006-12-06;N;N;11976.0;89.8;0.0;41.308;17.8;305.6;1323.0;1331.2;4191.6
F2006070031;Y06_07;Antsahamamy;hillside;25.0;till;Y0;2006-12-30;N;N;3225.8;72.0;100.0;44.12;111.3;280.0;1258.0;1331.2;1960.0
F2006070032;Y06_07;Antsahamamy;hillside;26.8;till;Y0;2006-12-31;N;N;1869.2;0.0;0.0;0.0;103.5;297.5;1258.0;1331.2;437.4
F2006070033;Y06_07;Antsahamamy;hillside;35.0;till;Y0;2006-12-22;N;N;2083.3;0.0;0.0;0.0;49.7;6.5;1307.7;1331.2;1702.9
F2006070034;Y06_07;Antsahamamy;hillside;19.0;till;Y0;2006-12-25;N;N;4166.7;0.0;157.9;17.369;62.2;15.4;1299.9;1331.2;3947.4
F2006070035;Y06_07;Antsahamamy;hillside;20.0;till;Y0;2006-12-30;N;N;3000.0;0.0;0.0;0.0;111.3;280.0;1258.0;1331.2;2000.0
F2006070036;Y06_07;Antsahamamy;hillside;7.0;till;Y0;2006-12-21;N;N;3571.4;71.4;0.0;32.844;44.7;6.0;1307.7;1331.2;800.0
F2006070037;Y06_07;Antsahamamy;hillside;10.0;till;Y0;2007-01-10;N;N;0.0;30.0;50.0;19.3;200.4;196.6;1196.4;1331.2;1200.0
F2006070038;Y06_07;Antsahamamy;lowland;38.7;till;Y0;2006-12-15;N;N;3571.4;0.0;10.3;1.133;17.8;88.8;1307.7;1331.2;1250.0
F2006070039;Y06_07;Antsahamamy;hillside;9.0;till;Y0;2006-12-30;N;N;5555.6;0.0;55.6;6.116;111.3;280.0;1258.0;1331.2;800.0
F2006070040;Y06_07;Antsahamamy;hillside;25.0;till;Y0;2006-12-18;N;N;3571.4;60.0;120.0;40.8;49.5;6.0;1307.7;1331.2;1352.0
F2006070041;Y06_07;Antsahamamy;lowland;23.0;till;Y0;2006-12-02;N;N;3928.6;52.2;147.8;40.27;13.0;427.8;1308.7;1331.2;1808.7
F2006070042;Y06_07;Antsahamamy;lowland;45.0;ca;Y1;2006-12-20;Y;Y;3225.8;0.0;66.7;7.337;44.7;6.0;1307.7;1331.2;1760.0
F2006070043;Y06_07;Antsahamamy;hillside;30.0;till;Y0;2006-12-16;N;N;3225.8;33.3;133.3;29.981;25.6;52.5;1307.7;1331.2;1800.0
F2006070044;Y06_07;Antsahamamy;lowland;8.0;till;Y0;2007-01-04;N;N;0.0;0.0;0.0;0.0;70.7;294.1;1242.5;1331.2;1875.0
F2006070045;Y06_07;Antsahamamy;lowland;10.0;till;Y0;2006-12-25;N;N;3928.6;0.0;0.0;0.0;62.2;15.4;1299.9;1331.2;3000.0
F2006070046;Y06_07;Antsahamamy;hillside;20.5;till;Y0;2006-12-19;N;N;0.0;0.0;0.0;0.0;49.5;6.0;1307.7;1331.2;2706.0
F2006070047;Y06_07;Antsahamamy;hillside;90.0;till;Y0;2006-12-28;N;N;4166.7;0.0;66.7;7.337;66.7;280.0;1263.0;1331.2;3000.0
F2006070048;Y06_07;Antsahamamy;hillside;38.0;till;Y0;2006-12-20;N;N;4605.3;26.3;131.6;26.574;44.7;6.0;1307.7;1331.2;2200.0
F2006070049;Y06_07;Antsahamamy;lowland;9.8;till;Y0;2006-12-08;N;N;0.0;30.7;51.1;19.743;17.8;179.0;1325.5;1331.2;2290.4
F2006070050;Y06_07;Antsahamamy;hillside;12.0;till;Y0;2006-12-20;N;N;6250.0;33.3;0.0;15.318;44.7;6.0;1307.7;1331.2;1283.3
F2006070051;Y06_07;Antsahamamy;hillside;10.0;till;Y0;2006-12-27;N;N;2500.0;0.0;0.0;0.0;65.2;225.5;1263.0;1331.2;2020.0
F2006070052;Y06_07;Antsahamamy;hillside;13.4;till;Y0;2006-12-18;Y;N;4650.3;37.2;0.0;17.112;49.5;6.0;1307.7;1331.2;4166.7
F2006070053;Y06_07;Antsahamamy;hillside;16.0;till;Y0;2006-12-08;N;N;4687.5;43.8;0.0;20.148;17.8;179.0;1325.5;1331.2;1837.5
F2006070054;Y06_07;Antsahamamy;lowland;6.0;till;Y0;2006-12-30;N;N;4166.7;33.3;83.3;24.481;111.3;280.0;1258.0;1331.2;3500.0
F2006070055;Y06_07;Antsahamamy;hillside;8.9;till;Y0;2006-12-06;N;N;5605.4;0.0;0.0;0.0;17.8;305.6;1323.0;1331.2;1748.9
F2006070056;Y06_07;Antsahamamy;lowland;30.0;till;Y0;2006-12-20;N;N;3500.0;0.0;33.3;3.663;44.7;6.0;1307.7;1331.2;1866.7
F2006070057;Y06_07;Antsahamamy;lowland;30.0;till;Y0;2006-12-30;N;N;3125.0;0.0;33.3;3.663;111.3;280.0;1258.0;1331.2;2000.0
F2006070058;Y06_07;Antsahamamy;lowland;9.0;till;Y0;2006-12-06;N;N;2777.8;55.6;0.0;25.576;17.8;305.6;1323.0;1331.2;1244.4
F2006070059;Y06_07;Antsahamamy;lowland;33.0;till;Y0;2006-12-03;N;N;4166.7;30.3;60.6;20.604;13.0;430.7;1308.7;1331.2;3636.4
F2006070060;Y06_07;Antsahamamy;lowland;21.0;till;Y0;2006-12-30;N;N;1666.7;47.6;47.6;27.132;111.3;280.0;1258.0;1331.2;1500.0
F2006070061;Y06_07;Antsahamamy;hillside;20.0;till;Y0;2007-01-09;N;N;4166.7;50.0;125.0;36.75;185.6;284.7;1196.4;1331.2;1300.0
F2006070063;Y06_07;Antsahamamy;lowland;8.0;till;Y0;2006-12-28;N;N;3928.6;0.0;37.5;4.125;66.7;280.0;1263.0;1331.2;3000.0
F2006070064;Y06_07;Antsahamamy;hillside;10.0;ca;Y1;2006-12-17;N;N;2750.0;0.0;150.0;16.5;12.6;10.4;1307.7;1331.2;1680.0
F2006070065;Y06_07;Antsahamamy;hillside;10.0;ca;Y1;2006-12-22;N;N;4000.0;72.0;150.0;49.62;49.7;6.5;1307.7;1331.2;1400.0
F2006070066;Y06_07;Antsahamamy;hillside;15.0;ca;Y1;2006-12-17;N;N;1666.7;33.3;100.0;26.318;12.6;10.4;1307.7;1331.2;1306.7
F2006070067;Y06_07;Antsahamamy;lowland;50.3;till;Y0;2006-11-30;N;N;0.0;0.0;19.9;2.189;0.0;393.7;1308.7;1331.2;1491.1
F2006070068;Y06_07;Antsahamamy;hillside;20.0;till;Y0;2006-12-20;N;N;0.0;30.0;125.0;27.55;44.7;6.0;1307.7;1331.2;2400.0
F2006070069;Y06_07;Antsahamamy;hillside;6.0;ca;Y1;2006-12-21;N;N;4166.7;66.7;100.0;41.682;44.7;6.0;1307.7;1331.2;2000.0
F2006070070;Y06_07;Antsahamamy;hillside;15.0;till;Y0;2006-12-29;N;N;1666.7;0.0;66.7;7.337;72.3;280.0;1263.0;1331.2;2333.3
F2006070071;Y06_07;Antsahamamy;lowland;10.0;till;Y0;2006-12-26;Y;N;3500.0;50.0;100.0;34.0;63.7;103.5;1263.0;1331.2;3000.0
F2006070072;Y06_07;Antsahamamy;hillside;36.0;till;Y0;2006-12-12;N;N;4166.7;0.0;0.0;0.0;17.8;130.2;1312.5;1331.2;1611.1
F2006070073;Y06_07;Antsahamamy;hillside;50.0;till;Y0;2006-12-04;N;N;4166.7;40.0;120.0;31.6;13.0;307.6;1308.7;1331.2;2800.0
F2006070074;Y06_07;Antsahamamy;hillside;25.0;till;Y0;2006-12-28;N;N;1666.7;0.0;0.0;0.0;66.7;280.0;1263.0;1331.2;1000.0
F2006070075;Y06_07;Antsahamamy;lowland;4.0;till;Y0;2006-12-28;N;N;3333.3;0.0;0.0;0.0;66.7;280.0;1263.0;1331.2;3500.0
F2006070076;Y06_07;Antsahamamy;lowland;26.9;till;Y0;2006-12-18;Y;N;1666.7;0.0;0.0;0.0;49.5;6.0;1307.7;1331.2;1172.3
F2006070077;Y06_07;Antsahamamy;lowland;10.0;till;Y0;2007-01-02;N;N;2083.3;45.0;120.0;33.9;66.6;294.1;1245.5;1331.2;2500.0
F2006070078;Y06_07;Antsahamamy;hillside;18.0;till;Y0;2006-12-15;N;N;5555.6;0.0;0.0;0.0;17.8;88.8;1307.7;1331.2;694.4
F2006070079;Y06_07;Antsahamamy;lowland;100.0;till;Y0;2006-12-25;N;N;3000.0;0.0;60.0;6.6;62.2;15.4;1299.9;1331.2;4000.0
F2006070080;Y06_07;Antsahamamy;hillside;13.6;till;Y0;2006-12-18;N;N;3676.5;0.0;0.0;0.0;49.5;6.0;1307.7;1331.2;477.9
F2006070081;Y06_07;Antsahamamy;lowland;10.8;till;Y0;2007-01-01;N;N;4651.2;0.0;27.9;3.069;103.5;294.1;1258.0;1331.2;1302.3
F2006070082;Y06_07;Antsahamamy;hillside;11.0;ca;Y1;2006-12-28;Y;Y;4166.7;0.0;0.0;0.0;66.7;280.0;1263.0;1331.2;3272.7
F2006070083;Y06_07;Antsahamamy;hillside;20.0;till;Y0;2006-12-15;N;N;0.0;70.0;150.0;48.7;17.8;88.8;1307.7;1331.2;2450.0
F2006070084;Y06_07;Antsahamamy;hillside;5.0;till;Y0;2006-12-27;N;N;3125.0;0.0;40.0;4.4;65.2;225.5;1263.0;1331.2;1400.0
F2006070085;Y06_07;Antsahamamy;hillside;30.0;ca;Y1;2006-12-13;N;N;3928.6;66.7;166.7;49.019;17.8;120.8;1307.7;1331.2;1280.0
F2006070086;Y06_07;Antsahamamy;hillside;19.0;till;Y0;2007-01-03;N;N;3125.0;0.0;52.6;5.786;69.1;294.1;1244.0;1331.2;1621.1
F2006070087;Y06_07;Antsahamamy;hillside;15.0;till;Y0;2006-12-20;N;N;3000.0;60.0;33.3;31.263;44.7;6.0;1307.7;1331.2;3266.7
F2006070088;Y06_07;Antsahamamy;hillside;12.3;ca;Y1;2006-12-23;N;N;8116.9;40.6;32.5;22.251;49.7;8.0;1307.7;1331.2;1704.5
F2006070089;Y06_07;Antsahamamy;lowland;15.0;till;Y0;2007-01-05;N;N;4166.7;0.0;100.0;11.0;77.0;294.1;1241.0;1331.2;700.0
F2006070090;Y06_07;Antsahamamy;hillside;6.0;till;Y0;2006-12-08;N;N;4166.7;0.0;50.0;5.5;17.8;179.0;1325.5;1331.2;700.0
F2006070091;Y06_07;Antsahamamy;lowland;16.1;till;Y0;2006-12-06;N;N;4664.2;0.0;0.0;0.0;17.8;305.6;1323.0;1331.2;3482.6
F2006070092;Y06_07;Antsahamamy;hillside;35.0;ca;Y1;2006-12-18;N;N;1666.7;57.1;142.9;41.985;49.5;6.0;1307.7;1331.2;1700.0
F2006070093;Y06_07;Antsahamamy;lowland;11.0;till;Y0;2006-12-18;N;N;4545.5;0.0;0.0;0.0;49.5;6.0;1307.7;1331.2;2163.6
F2006070094;Y06_07;Antsahamamy;hillside;12.0;till;Y0;2006-12-29;N;N;2083.3;100.0;0.0;46.0;72.3;280.0;1263.0;1331.2;1841.7
F2006070095;Y06_07;Antsahamamy;hillside;25.0;till;Y0;2006-12-25;N;N;3500.0;0.0;0.0;0.0;62.2;15.4;1299.9;1331.2;2000.0
F2006070096;Y06_07;Antsahamamy;lowland;10.0;till;Y0;2006-12-25;N;N;3125.0;30.0;50.0;19.3;62.2;15.4;1299.9;1331.2;2000.0
F2006070097;Y06_07;Antsahamamy;lowland;32.0;till;Y0;2007-01-03;N;N;0.0;15.6;31.3;10.619;69.1;294.1;1244.0;1331.2;1500.0
F2006070098;Y06_07;Antsahamamy;lowland;10.0;till;Y0;2007-01-02;N;N;4166.7;0.0;0.0;0.0;66.6;294.1;1245.5;1331.2;1500.0
F2006070099;Y06_07;Antsahamamy;lowland;10.0;till;Y0;2006-12-30;N;N;2750.0;0.0;0.0;0.0;111.3;280.0;1258.0;1331.2;2000.0
F2006070100;Y06_07;Antsahamamy;lowland;4.0;till;Y0;2006-12-20;N;N;3571.4;75.0;150.0;51.0;44.7;6.0;1307.7;1331.2;2250.0
F2006070102;Y06_07;Antsahamamy;lowland;22.0;till;Y0;2006-12-20;Y;Y;3500.0;68.2;136.4;46.376;44.7;6.0;1307.7;1331.2;1418.2
F2006070103;Y06_07;Antsahamamy;lowland;11.0;till;Y0;2006-12-15;N;N;3333.3;63.6;145.5;45.261;17.8;88.8;1307.7;1331.2;3600.0
F2006070104;Y06_07;Antsahamamy;lowland;7.5;till;Y0;2006-12-16;N;N;1666.7;66.7;146.7;46.819;25.6;52.5;1307.7;1331.2;2300.0
F2006070105;Y06_07;Antsahamamy;hillside;28.0;ca;Y1;2006-12-13;N;N;0.0;89.3;178.6;60.724;17.8;120.8;1307.7;1331.2;2571.4
F2006070106;Y06_07;Antsahamamy;hillside;28.0;ca;Y1;2006-12-13;N;N;3000.0;89.3;178.6;60.724;17.8;120.8;1307.7;1331.2;2571.4
F2006070107;Y06_07;Antsahamamy;hillside;20.0;ca;Y1;2007-01-07;N;N;0.0;0.0;175.0;19.25;77.0;292.1;1196.4;1331.2;2000.0
F2006070108;Y06_07;Ambohimiarina;lowland;10.0;till;Y0;2006-12-05;Y;N;1666.7;70.0;40.0;36.6;29.6;181.4;1143.3;1288.7;3080.0
F2006070109;Y06_07;Ambohimiarina;lowland;9.0;till;Y0;2006-12-06;Y;N;3500.0;55.6;33.3;29.239;28.2;210.0;1144.3;1288.7;3166.7
F2006070110;Y06_07;Ambohimiarina;lowland;13.0;till;Y0;2006-11-27;N;N;1666.7;0.0;230.8;25.388;124.4;179.6;1108.3;1288.7;1038.5
F2006070111;Y06_07;Ambohimiarina;lowland;50.0;till;Y0;2006-12-27;Y;N;3333.3;30.0;0.0;13.8;62.8;214.7;1089.3;1288.7;1796.0
F2006070112;Y06_07;Ambohimiarina;hillside;6.5;till;Y0;2006-12-16;N;N;3225.8;0.0;76.9;8.459;6.2;142.0;1132.1;1288.7;4276.9
F2006070113;Y06_07;Ambohimiarina;lowland;10.0;till;Y0;2006-11-28;Y;N;0.0;40.0;100.0;29.4;124.4;189.0;1106.9;1288.7;3560.0
F2006070114;Y06_07;Ambohimiarina;lowland;6.0;till;Y0;2007-01-03;Y;N;0.0;50.0;0.0;23.0;176.6;239.7;1078.7;1288.7;1800.0
F2006070115;Y06_07;Ambohimiarina;lowland;5.0;ca;Y1;2006-12-04;N;N;1666.7;40.0;0.0;18.4;30.8;137.6;1091.3;1288.7;3280.0
F2006070116;Y06_07;Ambohimiarina;lowland;15.0;ca;Y1;2006-12-06;Y;N;0.0;33.3;66.7;22.655;28.2;210.0;1144.3;1288.7;3500.0
F2006070117;Y06_07;Ambohimiarina;lowland;3.5;till;Y0;2006-12-15;N;N;2083.3;57.1;0.0;26.266;13.2;122.0;1132.3;1288.7;2342.9
F2006070118;Y06_07;Ambohimiarina;lowland;10.0;ca;Y1;2006-12-06;Y;N;3225.8;50.0;0.0;23.0;28.2;210.0;1144.3;1288.7;3800.0
F2006070119;Y06_07;Ambohimiarina;lowland;10.0;till;Y0;2006-12-06;Y;N;3225.8;60.0;0.0;27.6;28.2;210.0;1144.3;1288.7;1780.0
F2006070120;Y06_07;Ambohimiarina;lowland;10.0;till;Y0;2006-12-08;Y;N;3500.0;50.0;0.0;23.0;28.4;146.4;1144.9;1288.7;2480.0
F2006070121;Y06_07;Ambohimiarina;lowland;17.4;till;Y0;2006-12-02;Y;N;0.0;57.5;114.9;39.089;66.6;173.4;1106.3;1288.7;3316.1
