time,rfe,rfe_filled
2006-01-01,17.60,17.60
2006-01-02,.00,.00
2006-01-03,5.30,5.30
2006-01-04,.00,.00
2006-01-05,3.50,3.50
2006-01-06,.00,.00
2006-01-07,.00,.00
2006-01-08,32.30,32.30
2006-01-09,.00,.00
2006-01-10,4.30,4.30
2006-01-11,.00,.00
2006-01-12,4.20,4.20
2006-01-13,.00,.00
2006-01-14,.00,.00
2006-01-15,12.60,12.60
2006-01-16,.00,.00
2006-01-17,.00,.00
2006-01-18,.00,.00
2006-01-19,17.90,17.90
2006-01-20,.00,.00
2006-01-21,24.00,24.00
2006-01-22,15.50,15.50
2006-01-23,15.50,15.50
2006-01-24,2.80,2.80
2006-01-25,16.90,16.90
2006-01-26,12.60,12.60
2006-01-27,34.90,34.90
2006-01-28,39.10,39.10
2006-01-29,27.90,27.90
2006-01-30,19.60,19.60
2006-01-31,7.00,7.00
2006-02-01,13.80,13.80
2006-02-02,.00,.00
2006-02-03,10.60,10.60
2006-02-04,.00,.00
2006-02-05,10.60,10.60
2006-02-06,15.70,15.70
2006-02-07,.00,.00
2006-02-08,7.90,7.90
2006-02-09,.00,.00
2006-02-10,2.00,2.00
2006-02-11,21.10,21.10
2006-02-12,.00,.00
2006-02-13,.00,.00
2006-02-14,29.50,29.50
2006-02-15,2.10,2.10
2006-02-16,12.10,12.10
2006-02-17,3.00,3.00
2006-02-18,15.10,15.10
2006-02-19,22.70,22.70
2006-02-20,27.20,27.20
2006-02-21,10.30,10.30
2006-02-22,28.80,28.80
2006-02-23,.00,.00
2006-02-24,14.40,14.40
2006-02-25,12.40,12.40
2006-02-26,2.90,2.90
2006-02-27,5.90,5.90
2006-02-28,.00,.00
2006-03-01,3.90,3.90
2006-03-02,8.80,8.80
2006-03-03,.00,.00
2006-03-04,2.00,2.00
2006-03-05,9.80,9.80
2006-03-06,.00,.00
2006-03-07,16.60,16.60
2006-03-08,22.50,22.50
2006-03-09,30.80,30.80
2006-03-10,9.50,9.50
2006-03-11,15.50,15.50
2006-03-12,.00,.00
2006-03-13,.00,.00
2006-03-14,.00,.00
2006-03-15,.00,.00
2006-03-16,.00,.00
2006-03-17,.00,.00
2006-03-18,.00,.00
2006-03-19,.00,.00
2006-03-20,.00,.00
2006-03-21,.00,.00
2006-03-22,.00,.00
2006-03-23,.00,.00
2006-03-24,.00,.00
2006-03-25,.00,.00
2006-03-26,.00,.00
2006-03-27,.00,.00
2006-03-28,19.70,19.70
2006-03-29,.00,.00
2006-03-30,.00,.00
2006-03-31,.00,.00
2006-04-01,.00,.00
2006-04-02,.00,.00
2006-04-03,.00,.00
2006-04-04,.00,.00
2006-04-05,.00,.00
2006-04-06,.00,.00
2006-04-07,.00,.00
2006-04-08,.00,.00
2006-04-09,.00,.00
2006-04-10,13.00,13.00
2006-04-11,.00,.00
2006-04-12,.00,.00
2006-04-13,.00,.00
2006-04-14,.00,.00
2006-04-15,.00,.00
2006-04-16,.00,.00
2006-04-17,.00,.00
2006-04-18,.00,.00
2006-04-19,.00,.00
2006-04-20,.00,.00
2006-04-21,.00,.00
2006-04-22,.00,.00
2006-04-23,.00,.00
2006-04-24,.00,.00
2006-04-25,.00,.00
2006-04-26,.00,.00
2006-04-27,.00,.00
2006-04-28,.00,.00
2006-04-29,.00,.00
2006-04-30,.00,.00
2006-05-01,.00,.00
2006-05-02,.00,.00
2006-05-03,.00,.00
2006-05-04,.00,.00
2006-05-05,.00,.00
2006-05-06,.00,.00
2006-05-07,.00,.00
2006-05-08,.00,.00
2006-05-09,.00,.00
2006-05-10,.00,.00
2006-05-11,.00,.00
2006-05-12,11.50,11.50
2006-05-13,.00,.00
