Jour	NbJas	NumPhase	DegresDuJour	Lai	FTSW	Cstr	Eto	ETM	ETR	Sla	Assim	DayLength	Par	RgCalc	VDPCalc	TMoyCalc	HMoyCalc	EauDispo	StockSurface	StockRac	RURac	Kcp	Kce	EvapPot	Evap	TrPot	Tr	Lr	Dr	SumDegresDay	BiomasseTotale	BiomasseAerienne	BiomasseFeuilles	BiomasseTiges	BiomasseVegetative	BiomasseRacinaire	Rdt	VitesseRacinaire	FESW	Kc	Ltr	DRespMaint	DBiomTot	DRdtPot	Reallocation	RdtPot	RayExtra	SumDDPhasePrec	SeuilTemp	TMinMoy	TMaxMoy	FtswMoy	IrrigTotDay	Conversion	StockTotal	BiomMc	StockMc	LitFeuilles	LitTiges	FeuillesUp	TigesUp	Hum	EToCO2
01/04/2012	-27	NA	NA	NA	0	0	3,17990660401692	3,17990660401692	0	NA	NA	12,5408040794063	10	20	0	18,3	79,2	0	0	0	NA	NA	1	3,17990660401692	0	NA	0	0	0	0	NA	NA	0	0	NA	NA	NA	NA	0	1	1	NA	NA	NA	NA	NA	30,9816090939939	0	0	8	28,6	2,8	0	0	170	0	0	0	0	0	0	170	3,17990660401692
02/04/2012	-26	NA	NA	NA	0	0	3,95008794092354	3,95008794092354	3,95008794092354	NA	NA	12,5887039724327	9,5	19	0	20,4	73,8	30	25,0899120590765	0	NA	NA	1	3,95008794092354	3,95008794092354	NA	0	0	0	0	NA	NA	0	0	NA	NA	NA	NA	1	1	1	NA	NA	NA	NA	NA	31,23235212323	0	0	11,4	29,4	4,3	30	0	193,409912059076	0	0	0	0	0	0	197,36	3,95008794092354
03/04/2012	-25	NA	NA	NA	0	0	3,64255088303901	3,64255088303901	2,71900922665762	NA	NA	12,6365080503118	9	18	0	15,55	73	0	22,3709028324188	0	NA	NA	1	3,64255088303901	2,71900922665762	NA	0	0	0	0	NA	NA	0	0	NA	NA	NA	NA	0,863977687984727	1	1	NA	NA	NA	NA	NA	31,4814293007386	0	0	11,8	19,3	6	0	0	190,690902832419	0	0	0	0	0	0	197,36	3,64255088303901
04/04/2012	-24	NA	NA	NA	0	0	4,53986474581842	4,53986474581842	2,69411861823379	NA	NA	12,6842078398013	8	16	0	15,6	46,7	0	19,676784214185	0	NA	NA	1	4,53986474581842	2,69411861823379	NA	0	0	0	0	NA	NA	0	0	NA	NA	NA	NA	0,770347893678335	1	1	NA	NA	NA	NA	NA	31,7287641208138	0	0	11,6	19,6	4,4	0	0	187,996784214185	0	0	0	0	0	0	197,36	4,53986474581842
05/04/2012	-23	NA	NA	NA	0	0	4,66198654741244	4,66198654741244	2,14035611518932	NA	NA	12,7317947256901	10,8	21,6	0	11,5	37,8	0	17,5364280989957	0	NA	NA	1	4,66198654741244	2,14035611518932	NA	0	0	0	0	NA	NA	0	0	NA	NA	NA	NA	0,677575213987088	1	1	NA	NA	NA	NA	NA	31,9742816615908	0	0	5,7	17,3	3,6	0	0	185,856428098996	0	0	0	0	0	0	197,36	4,66198654741244
06/04/2012	-22	NA	NA	NA	0	0	4,02624334804737	4,02624334804737	1,46821303033672	NA	NA	12,7792599409765	11,1	22,2	0	8,55	47	0	16,068215068659	0	NA	NA	1	4,02624334804737	1,46821303033672	NA	0	0	0	0	NA	NA	0	0	NA	NA	NA	NA	0,603871491012249	1	1	NA	NA	NA	NA	NA	32,2179086122502	0	0	1,1	16	4,2	0	0	184,388215068659	0	0	0	0	0	0	197,36	4,02624334804737
07/04/2012	-21	NA	NA	NA	0	0	2,81483458631507	2,81483458631507	1,00686218715577	NA	NA	12,8265945572682	4,85	9,7	0	10,25	59,9	1,3	16,3613528815032	0	NA	NA	1	2,81483458631507	1,00686218715577	NA	0	0	0	0	NA	NA	0	0	NA	NA	NA	NA	0,598079031289911	1	1	NA	NA	NA	NA	NA	32,4595732971052	0	0	3,4	17,1	4,5	0	0	184,681352881503	0	0	0	0	0	0	197,36	2,81483458631507
08/04/2012	-20	NA	NA	NA	0	0	5,04452715146846	5,04452715146846	1,60127404062462	NA	NA	12,8737894754266	10	20	0	10,4	35,3	0	14,7600788408786	0	NA	NA	1	5,04452715146846	1,60127404062462	NA	0	0	0	0	NA	NA	0	0	NA	NA	NA	NA	0,563407468371324	1	1	NA	NA	NA	NA	NA	32,6992056965673	0	0	0	20,8	4,5	0	0	183,080078840879	0	0	0	0	0	0	197,36	5,04452715146846
09/04/2012	-19	NA	NA	NA	0	0	4,99939848145666	4,99939848145666	1,29152222610993	NA	NA	12,920835416474	11,45	22,9	0	10,2	33,6	0	13,4685566147687	0	NA	NA	1	4,99939848145666	1,29152222610993	NA	0	0	0	0	NA	NA	0	0	NA	NA	NA	NA	0,508267177716206	1	1	NA	NA	NA	NA	NA	32,9367374650015	0	0	2,9	17,5	4,8	0	0	181,788556614769	0	0	0	0	0	0	197,36	4,99939848145666
10/04/2012	-18	NA	NA	NA	0	0	4,06940414539326	4,06940414539326	0,875345919188138	NA	NA	12,9677229127898	12	24	0	5	35,3	0	12,5932106955805	0	NA	NA	1	4,06940414539326	0,875345919188138	NA	0	0	0	0	NA	NA	0	0	NA	NA	NA	NA	0,463793271858426	1	1	NA	NA	NA	NA	NA	33,1721019454829	0	0	-1,9	11,9	4,4	0	0	180,913210695581	0	0	0	0	0	0	197,36	4,06940414539326
11/04/2012	-17	NA	NA	NA	0	0	3,32881851646299	3,32881851646299	0,625993514200651	NA	NA	13,0144422996174	12,2	24,4	0	4,35	36,7	0	11,9672171813799	0	NA	NA	1	3,32881851646299	0,625993514200651	NA	0	0	0	0	NA	NA	0	0	NA	NA	NA	NA	0,433650506046162	1	1	NA	NA	NA	NA	NA	33,4052341814824	0	0	-4	12,7	2,3	0	0	180,28721718138	0	0	0	0	0	0	197,36	3,32881851646299
12/04/2012	-16	NA	NA	NA	0	0	2,79200689207735	2,79200689207735	0,474143288317402	NA	NA	13,0609837069071	7,75	15,5	0	8	49,6	0	11,4930738930625	0	NA	NA	1	2,79200689207735	0,474143288317402	NA	0	0	0	0	NA	NA	0	0	NA	NA	NA	NA	0,412094255557159	1	1	NA	NA	NA	NA	NA	33,6360709255128	0	0	0,6	15,4	2,7	0	0	179,813073893063	0	0	0	0	0	0	197,36	2,79200689207735
13/04/2012	-15	NA	NA	NA	0	0	0,523374040414881	0,523374040414881	0,31959914451208	NA	NA	13,1073370515214	1,85	3,7	0	10,6	96,9	11,2	22,3734747485504	0	NA	NA	1	0,523374040414881	0,31959914451208	NA	0	0	0	0	NA	NA	0	0	NA	NA	NA	NA	0,781441938466339	1	1	NA	NA	NA	NA	NA	33,8645506447777	0	0	7,3	13,9	5,6	0	0	190,69347474855	0	0	0	0	0	0	197,36	0,523374040414881
14/04/2012	-14	NA	NA	NA	0	0	0,622525519636807	0,622525519636807	0,622525519636807	NA	NA	13,1534920298301	2,1	4,2	0	14,8	95,7	27,14	28,4174744803632	0	NA	NA	1	0,622525519636807	0,622525519636807	NA	0	3,06	19,8334747485504	0	NA	NA	0	0	NA	NA	NA	NA	1	1	1	NA	NA	NA	NA	NA	34,0906135238736	0	0	12,2	17,4	3,4	0	0	197,377474480363	0	0	0	0	0	0	198	0,622525519636807
15/04/2012	-13	NA	NA	NA	0	0	2,90256326287673	2,90256326287673	2,90256326287673	NA	NA	13,199438110722	9,1	18,2	0	17,2	83,2	4,3	26,1374367371233	0	NA	NA	1	2,90256326287673	2,90256326287673	NA	0	0	3,6774744803632	0	NA	NA	0	0	NA	NA	NA	NA	1	1	1	NA	NA	NA	NA	NA	34,3142014646022	0	0	11	23,4	7,1	0	0	195,097436737123	0	0	0	0	0	0	198	2,90256326287673
16/04/2012	-12	NA	NA	NA	0	0	2,29319833833884	2,29319833833884	1,85769487804672	NA	NA	13,2451645290641	8,9	17,8	0	8,7	85,1	0	24,2797418590766	0	NA	NA	1	2,29319833833884	1,85769487804672	NA	0	0	0	0	NA	NA	0	0	NA	NA	NA	NA	0,900049474418846	1	1	NA	NA	NA	NA	NA	34,5352580829606	0	0	4,1	13,3	6,7	0	0	193,239741859077	0	0	0	0	0	0	198	2,29319833833884
17/04/2012	-11	NA	NA	NA	0	0	2,87767875138388	2,87767875138388	2,01157956915635	NA	NA	13,2906602796375	10,75	21,5	0	11,3	74,5	0	22,2681622899202	0	NA	NA	1	2,87767875138388	2,01157956915635	NA	0	0	0	0	NA	NA	0	0	NA	NA	NA	NA	0,836079265119716	1	1	NA	NA	NA	NA	NA	34,7537287033824	0	0	3,9	18,7	3,3	0	0	191,22816228992	0	0	0	0	0	0	198	2,87767875138388
18/04/2012	-10	NA	NA	NA	0	0	2,81524088895149	2,81524088895149	2,40989579183638	NA	NA	13,3359141115821	10,5	21	0	16,4	82,7	4,6	24,4582664980838	0	NA	NA	1	2,81524088895149	2,40989579183638	NA	0	0	0	0	NA	NA	0	0	NA	NA	NA	NA	0,925212200066123	1	1	NA	NA	NA	NA	NA	34,9695603503108	0	0	11	21,8	3,4	0	0	193,418266498084	0	0	0	0	0	0	198	2,81524088895149
19/04/2012	-9	NA	NA	NA	0	0	1,00253773798699	1,00253773798699	1,00253773798699	NA	NA	13,380914523382	1,95	3,9	0	10,4	96,6	14,5	28,037462262013	0	NA	NA	1	1,00253773798699	1,00253773798699	NA	0	0	9,9182664980838	0	NA	NA	0	0	NA	NA	NA	NA	1	1	1	NA	NA	NA	NA	NA	35,1827017371931	0	0	4,6	16,2	5	0	0	196,997462262013	0	0	0	0	0	0	198	1,00253773798699
20/04/2012	-8	NA	NA	NA	0	0	2,77197533028617	2,77197533028617	2,58388714257466	NA	NA	13,4256497584256	12,35	24,7	0	8,1	77,8	0	25,4535751194383	0	NA	NA	1	2,77197533028617	2,58388714257466	NA	0	0	0	0	NA	NA	0	0	NA	NA	NA	NA	0,965477350620283	1	1	NA	NA	NA	NA	NA	35,393103252991	0	0	3,4	12,8	4,8	0	0	194,413575119438	0	0	0	0	0	0	198	2,77197533028617
21/04/2012	-7	NA	NA	NA	0	0	1,42938413768395	1,42938413768395	1,3055502882296	NA	NA	13,4701078011739	5,1	10,2	0	8,85	88,2	2,3	26,4480248312087	0	NA	NA	1	1,42938413768395	1,3055502882296	NA	0	0	0	0	NA	NA	0	0	NA	NA	NA	NA	0,955701622570191	1	1	NA	NA	NA	NA	NA	35,600716946309	0	0	3,3	14,4	2,6	0	0	195,408024831209	0	0	0	0	0	0	198	1,42938413768395
22/04/2012	-6	NA	NA	NA	0	0	1,64878643572803	1,64878643572803	1,3675955211237	NA	NA	13,5142763739725	6,1	12,2	0	9,1	86,6	0	25,080429310085	0	NA	NA	1	1,64878643572803	1,3675955211237	NA	0	0	0	0	NA	NA	0	0	NA	NA	NA	NA	0,910744656722064	1	1	NA	NA	NA	NA	NA	35,8054965072493	0	0	4,7	13,5	3,7	0	0	194,040429310085	0	0	0	0	0	0	198	1,64878643572803
