,TMin,Point,Jour,TMax,Rg,Vap,Vt,TMoy,es,HMoy,Jour_SARRA_H,lat,lon,ELEV,ET0_PM
0,17.11435,Ambohimiarina,2006-01-01,25.525208,19.360353,17.9794,4.8578672,19.744232,23.021603,78.09795,01/01/2006,-18.83,47.13,1237,4.812610666002596
1,17.315002,Ambohimiarina,2006-01-02,24.582672,17.930176,17.35751,4.9811535,19.633484,22.863945,75.91651,02/01/2006,-18.83,47.13,1237,4.629273302645156
2,16.733704,Ambohimiarina,2006-01-03,24.405243,19.581732,17.715513,5.2187247,19.594116,22.808128,77.67193,03/01/2006,-18.83,47.13,1237,4.588703943151211
3,16.532928,Ambohimiarina,2006-01-04,25.896759,24.727077,17.515127,4.4173636,19.986847,23.37032,74.94604,04/01/2006,-18.83,47.13,1237,5.457638921003238
4,16.181824,Ambohimiarina,2006-01-05,25.296814,22.157118,16.374922,4.003274,19.82013,23.130203,70.79454,05/01/2006,-18.83,47.13,1237,5.1547357395396265
5,15.036621,Ambohimiarina,2006-01-06,26.371887,27.975727,15.619264,3.5717754,20.007904,23.4008,66.746704,06/01/2006,-18.83,47.13,1237,5.975145187106346
6,15.438141,Ambohimiarina,2006-01-07,26.372711,27.494806,15.460028,3.1664922,19.931793,23.290785,66.3783,07/01/2006,-18.83,47.13,1237,5.897764431526958
7,15.594543,Ambohimiarina,2006-01-08,26.76416,27.71551,15.685338,2.955148,20.300873,23.828527,65.82588,08/01/2006,-18.83,47.13,1237,5.927977964103226
8,15.219635,Ambohimiarina,2006-01-09,26.21521,27.997305,15.812551,2.999179,19.807404,23.11196,68.41718,09/01/2006,-18.83,47.13,1237,5.797998190037564
9,16.444641,Ambohimiarina,2006-01-10,26.73175,23.259127,18.284098,3.7210896,20.57367,24.232937,75.45143,10/01/2006,-18.83,47.13,1237,5.195986639698129
10,17.306427,Ambohimiarina,2006-01-11,24.70993,18.578142,19.350054,3.492133,20.237793,23.735863,81.52244,11/01/2006,-18.83,47.13,1237,4.045608633563232
11,16.648193,Ambohimiarina,2006-01-12,26.356781,21.440783,17.916634,2.3297184,21.385773,25.472559,70.337,12/01/2006,-18.83,47.13,1237,4.687143957408056
12,16.778015,Ambohimiarina,2006-01-13,27.887573,30.00049,16.527803,3.0606346,21.644043,25.878237,63.86758,13/01/2006,-18.83,47.13,1237,6.469869298929293
13,16.108154,Ambohimiarina,2006-01-14,27.813751,30.182653,16.15454,3.10447,21.191803,25.171545,64.17778,14/01/2006,-18.83,47.13,1237,6.467225252397259
14,16.140564,Ambohimiarina,2006-01-15,26.809082,25.699438,17.209215,2.3823638,21.070953,24.985584,68.87658,15/01/2006,-18.83,47.13,1237,5.3697691805904
15,16.46521,Ambohimiarina,2006-01-16,25.636536,23.457403,16.551653,3.5183642,20.37259,23.934267,69.154625,16/01/2006,-18.83,47.13,1237,5.273623155319756
16,16.267426,Ambohimiarina,2006-01-17,26.742676,25.459913,17.222858,4.1612186,20.852386,24.652296,69.8631,17/01/2006,-18.83,47.13,1237,5.731852880381951
17,16.922638,Ambohimiarina,2006-01-18,28.128479,27.729502,16.95532,3.527178,21.906189,26.295761,64.479294,18/01/2006,-18.83,47.13,1237,6.323622297113172
18,17.318115,Ambohimiarina,2006-01-19,27.475922,25.870823,17.671116,1.8892301,21.745087,26.038475,67.8654,19/01/2006,-18.83,47.13,1237,5.417536365975861
19,17.926086,Ambohimiarina,2006-01-20,27.929535,27.245832,19.037918,2.7962697,22.224884,26.811264,71.007164,20/01/2006,-18.83,47.13,1237,5.825114679985514
20,17.046478,Ambohimiarina,2006-01-21,28.289948,26.2713,19.20972,2.3559651,21.325104,25.378069,75.69418,21/01/2006,-18.83,47.13,1237,5.540716781100319
21,16.6362,Ambohimiarina,2006-01-22,26.278442,23.933357,17.134212,3.1661367,20.566315,24.22195,70.73837,22/01/2006,-18.83,47.13,1237,5.295136471372692
22,15.313904,Ambohimiarina,2006-01-23,26.131287,23.160711,17.243591,2.1358185,20.50235,24.12663,71.4712,23/01/2006,-18.83,47.13,1237,4.774808938305207
23,15.393585,Ambohimiarina,2006-01-24,28.37677,28.1055,17.136576,1.3784919,22.200592,26.77166,64.01014,24/01/2006,-18.83,47.13,1237,5.561993078021184
24,16.948975,Ambohimiarina,2006-01-25,26.551697,23.21249,19.350578,1.4841698,21.210205,25.199974,76.788086,25/01/2006,-18.83,47.13,1237,4.6400627325674355
25,17.88733,Ambohimiarina,2006-01-26,26.745575,21.603752,20.424166,1.3082496,21.635162,25.86419,78.96697,26/01/2006,-18.83,47.13,1237,4.391635106708316
26,17.727966,Ambohimiarina,2006-01-27,27.499573,21.25773,20.584688,1.7749807,21.671906,25.922333,79.40909,27/01/2006,-18.83,47.13,1237,4.49786580134614
27,18.105713,Ambohimiarina,2006-01-28,26.099152,19.186525,21.0597,1.9334956,21.114532,25.052504,84.062256,28/01/2006,-18.83,47.13,1237,4.012578326383103
28,18.350647,Ambohimiarina,2006-01-29,23.994446,11.588736,20.94613,2.2945526,20.073761,23.49636,89.14627,29/01/2006,-18.83,47.13,1237,2.7265056155433025
29,18.070068,Ambohimiarina,2006-01-30,26.052643,20.35919,20.171349,4.4786863,21.0224,24.91121,80.972984,30/01/2006,-18.83,47.13,1237,4.608388678637453
30,17.66864,Ambohimiarina,2006-01-31,26.47519,19.101685,19.816996,4.1792808,20.968475,24.82883,79.81445,31/01/2006,-18.83,47.13,1237,4.54348615672747
31,17.367584,Ambohimiarina,2006-02-01,25.344086,18.88855,19.183825,3.43076,20.078766,23.503637,81.62067,01/02/2006,-18.83,47.13,1237,4.2356363782332584
32,17.34967,Ambohimiarina,2006-02-02,21.446686,8.668548,19.963121,2.0483942,19.093964,22.109306,90.29284,02/02/2006,-18.83,47.13,1237,1.9973567466277096
33,17.402802,Ambohimiarina,2006-02-03,25.647614,22.604973,19.54398,2.515129,20.265045,23.775854,82.20096,03/02/2006,-18.83,47.13,1237,4.585404206603267
34,17.001343,Ambohimiarina,2006-02-04,25.407288,20.168463,19.359066,2.5415516,20.342072,23.889221,81.03683,04/02/2006,-18.83,47.13,1237,4.20594596134699
35,17.349457,Ambohimiarina,2006-02-05,25.539032,22.659197,19.32447,2.3216004,20.746887,24.492823,78.8985,05/02/2006,-18.83,47.13,1237,4.569661883709978
36,17.05426,Ambohimiarina,2006-02-06,27.339111,22.323336,19.273327,1.8548774,20.78363,24.548262,78.511986,06/02/2006,-18.83,47.13,1237,4.693215492206681
37,17.287262,Ambohimiarina,2006-02-07,27.292603,24.92512,18.338022,3.2992969,20.72171,24.454895,74.98712,07/02/2006,-18.83,47.13,1237,5.507536475352088
38,16.800262,Ambohimiarina,2006-02-08,26.275452,25.10424,18.346941,4.0478253,20.818848,24.601503,74.5765,08/02/2006,-18.83,47.13,1237,5.3556416487108365
39,16.994873,Ambohimiarina,2006-02-09,26.313934,24.312817,17.931238,4.285795,20.720215,24.452648,73.33046,09/02/2006,-18.83,47.13,1237,5.431210412119022
40,17.49347,Ambohimiarina,2006-02-10,26.5596,21.877222,18.404963,4.1450996,21.286163,25.317585,72.69636,10/02/2006,-18.83,47.13,1237,5.157021251208709
41,16.891388,Ambohimiarina,2006-02-11,26.752106,23.805908,17.90556,3.2821028,21.067566,24.980392,71.67845,11/02/2006,-18.83,47.13,1237,5.26555340394345
42,16.725922,Ambohimiarina,2006-02-12,26.562744,24.847263,16.560032,3.449623,20.606415,24.281876,68.19914,12/02/2006,-18.83,47.13,1237,5.606876805459637
43,14.813141,Ambohimiarina,2006-02-13,26.826996,28.403402,16.108658,3.4146056,20.514282,24.14439,66.71802,13/02/2006,-18.83,47.13,1237,5.909741470339041
44,16.734558,Ambohimiarina,2006-02-14,24.939789,15.206188,18.302464,4.2335835,19.241913,22.314045,82.02216,14/02/2006,-18.83,47.13,1237,3.9198720571168373
45,16.285767,Ambohimiarina,2006-02-15,25.672241,22.1762,17.402832,4.2161746,20.230804,23.72561,73.3504,15/02/2006,-18.83,47.13,1237,5.016579784295834
46,16.323975,Ambohimiarina,2006-02-16,26.526886,23.601454,17.617937,4.0050335,20.903992,24.73064,71.23931,16/02/2006,-18.83,47.13,1237,5.304695478738161
47,17.026245,Ambohimiarina,2006-02-17,27.580414,25.42017,18.39487,2.3056455,21.570648,25.76238,71.40206,17/02/2006,-18.83,47.13,1237,5.3225522588546275
48,16.052246,Ambohimiarina,2006-02-18,27.141144,22.87654,19.750391,1.0639833,21.33197,25.388756,77.791885,18/02/2006,-18.83,47.13,1237,4.436198749434862
49,17.214966,Ambohimiarina,2006-02-19,26.102448,21.775612,19.626617,1.6718123,20.286713,23.807697,82.43812,19/02/2006,-18.83,47.13,1237,4.356539397042422
50,17.09378,Ambohimiarina,2006-02-20,25.900604,19.168518,20.171686,1.5047022,20.436249,24.028471,83.949104,20/02/2006,-18.83,47.13,1237,3.8784610124879078
51,16.928314,Ambohimiarina,2006-02-21,26.135864,20.800915,18.879665,2.094919,21.062653,24.972855,75.600746,21/02/2006,-18.83,47.13,1237,4.352313612740984
52,16.948822,Ambohimiarina,2006-02-22,26.886932,21.66729,18.782644,2.649915,20.98059,24.847319,75.59224,22/02/2006,-18.83,47.13,1237,4.721042544640445
53,17.234924,Ambohimiarina,2006-02-23,26.448975,20.958355,18.097044,4.173586,20.51944,24.152065,74.929596,23/02/2006,-18.83,47.13,1237,5.027099222020677
54,17.104889,Ambohimiarina,2006-02-24,25.832825,19.37328,18.089201,4.068119,20.376923,23.940668,75.558464,24/02/2006,-18.83,47.13,1237,4.657449583217716
55,17.3143,Ambohimiarina,2006-02-25,25.415588,20.190845,17.401236,3.6632383,20.15744,23.618273,73.677,25/02/2006,-18.83,47.13,1237,4.747658369562568
56,15.723297,Ambohimiarina,2006-02-26,26.487732,24.355457,16.492685,3.029401,20.004883,23.396431,70.49232,26/02/2006,-18.83,47.13,1237,5.268010913598148
57,16.097961,Ambohimiarina,2006-02-27,25.925476,22.200802,17.804695,3.566781,20.742065,24.485556,72.715096,27/02/2006,-18.83,47.13,1237,4.818105661326796
58,16.879913,Ambohimiarina,2006-02-28,26.572937,23.090296,18.447859,3.7871425,20.790894,24.559235,75.11577,28/02/2006,-18.83,47.13,1237,5.08423030888135
59,17.160187,Ambohimiarina,2006-03-01,26.443604,22.964418,17.742058,3.3910718,21.131744,25.078978,70.74474,01/03/2006,-18.83,47.13,1237,5.129347644826616
60,17.242676,Ambohimiarina,2006-03-02,26.596039,21.068052,18.884626,3.3472443,20.479248,24.092287,78.38453,02/03/2006,-18.83,47.13,1237,4.725899103871716
61,16.731873,Ambohimiarina,2006-03-03,26.69455,23.448887,18.154434,2.6605701,21.071869,24.986984,72.65556,03/03/2006,-18.83,47.13,1237,4.945031512917989
62,16.241821,Ambohimiarina,2006-03-04,27.445587,24.938726,18.670385,1.8418033,20.939453,24.784597,75.3306,04/03/2006,-18.83,47.13,1237,4.95841921266347
63,15.46817,Ambohimiarina,2006-03-05,26.810028,23.353216,19.564327,1.7013072,20.826263,24.612722,79.48868,05/03/2006,-18.83,47.13,1237,4.476716973763149
64,16.834534,Ambohimiarina,2006-03-06,26.111023,22.615261,20.48395,2.5733252,21.177216,25.149033,81.45025,06/03/2006,-18.83,47.13,1237,4.384973184078405
65,18.088776,Ambohimiarina,2006-03-07,25.952728,19.528456,20.678856,2.6615903,21.521637,25.685266,80.50863,07/03/2006,-18.83,47.13,1237,4.084786449997977
66,18.295197,Ambohimiarina,2006-03-08,25.305481,15.316617,20.68885,2.027753,20.160675,23.622997,87.57928,08/03/2006,-18.83,47.13,1237,3.353643803066847
67,17.69281,Ambohimiarina,2006-03-09,24.678162,14.174762,21.375319,2.3275692,20.003662,23.39466,91.36836,09/03/2006,-18.83,47.13,1237,2.980926996742399
68,17.624725,Ambohimiarina,2006-03-10,23.504822,11.388363,20.564863,2.0283628,19.733826,23.006752,89.38621,10/03/2006,-18.83,47.13,1237,2.523482167003198
69,17.010681,Ambohimiarina,2006-03-11,26.327393,20.330412,20.278204,1.6587107,20.87024,24.679377,82.166595,11/03/2006,-18.83,47.13,1237,4.032114443959309
70,17.733673,Ambohimiarina,2006-03-12,26.726288,21.045069,20.99927,2.6011782,21.261444,25.279259,83.06916,12/03/2006,-18.83,47.13,1237,4.304522378887975
71,17.650665,Ambohimiarina,2006-03-13,27.020782,23.469927,20.06504,3.0418932,21.819397,26.15688,76.71037,13/03/2006,-18.83,47.13,1237,4.857436003361535
72,15.310028,Ambohimiarina,2006-03-14,26.551788,22.803677,18.244501,3.8522644,21.02591,24.916574,73.22235,14/03/2006,-18.83,47.13,1237,4.822819622154736
73,16.814972,Ambohimiarina,2006-03-15,26.670197,23.296732,18.592089,4.1961117,21.332092,25.388943,73.22908,15/03/2006,-18.83,47.13,1237,5.097880453304073
74,16.82663,Ambohimiarina,2006-03-16,26.323334,21.730822,17.692457,3.8704903,20.97818,24.843636,71.21525,16/03/2006,-18.83,47.13,1237,4.966010166792742
75,16.363098,Ambohimiarina,2006-03-17,26.600067,26.436625,16.478334,3.58009,20.345795,23.894712,68.962265,17/03/2006,-18.83,47.13,1237,5.64750794647094
76,14.175751,Ambohimiarina,2006-03-18,27.070648,27.051676,15.3009615,3.923937,19.78598,23.081282,66.29165,18/03/2006,-18.83,47.13,1237,5.861361570939829
77,14.79248,Ambohimiarina,2006-03-19,26.547699,25.400326,15.674226,4.4260964,19.693848,22.94976,68.298,19/03/2006,-18.83,47.13,1237,5.676972192794221
78,15.293884,Ambohimiarina,2006-03-20,25.796082,22.066273,16.835707,4.549789,20.090668,23.520947,71.57751,20/03/2006,-18.83,47.13,1237,4.959049608233821
79,16.592407,Ambohimiarina,2006-03-21,25.720642,20.57692,17.904568,4.884627,19.981934,23.363214,76.63572,21/03/2006,-18.83,47.13,1237,4.774118285596842
80,16.804596,Ambohimiarina,2006-03-22,24.927612,15.052329,17.68141,4.4359183,19.593292,22.806957,77.52638,22/03/2006,-18.83,47.13,1237,4.010332495418292
