#separateur|	;date_format|dd/MM/yyyy;heure_format|hh:mm:ss;float_separateur|,;
CodeStation	Jour	TMax	TMin	TMoy	HMax	HMin	HMoy	Vt	Ins	Rg	ETP
US0001	01/01/1980	-0,6	-3,9				89	3,1		1,2	
US0001	02/01/1980	-2,2	-5				58	4,9		4,7	
US0001	03/01/1980	-2,2	-7,2				52	4,3		1,9	
US0001	04/01/1980	-1,7	-5				67	4,1		3,8	
US0001	05/01/1980	-1,7	-5,6				82	3,4		1	
US0001	06/01/1980	0	-9,4				82	9,1		8,5	
US0001	07/01/1980	-8,3	-18,3				58	8,2		6,7	
US0001	08/01/1980	-10,6	-18,9				51	2,9		6,7	
US0001	09/01/1980	-13,3	-22,8				68	3,7		2,2	
US0001	10/01/1980	4,4	-16,1				93	8		8	
US0001	11/01/1980	9,4	-12,2				76	11,9		4	
US0001	12/01/1980	-1,1	-16,1				43	6,1		8,6	
US0001	13/01/1980	10,6	-1,1				50	6,7		8,6	
US0001	14/01/1980	5	-5,6				57	4,1		2,1	
US0001	15/01/1980	6,7	2,2				91	4,1		1	
US0001	16/01/1980	5,6	0				99	5,6		1,9	
US0001	17/01/1980	0,6	-5				80	5,6		3,7	
US0001	18/01/1980	-0,6	-5,6				99	2,7		1,4	
US0001	19/01/1980	-0,6	-6,7				91	4,3		1,3	
US0001	20/01/1980	-0,6	-10,6				58	2,1		3,1	
US0001	21/01/1980	-0,6	-9,4				91	4,2		10,4	
US0001	22/01/1980	0	-7,8				80	8,2		8,8	
US0001	23/01/1980	-6,1	-13,3				49	4		2,9	
US0001	24/01/1980	5	-9,4				81	5,7		5	
US0001	25/01/1980	3,9	-7,2				85	5,9		6,9	
US0001	26/01/1980	-6,1	-16,7				57	6,1		7,5	
US0001	27/01/1980	-11,7	-15,6				60	4,5		5,9	
US0001	28/01/1980	-10,6	-15				62	4,6		9	
US0001	29/01/1980	-11,1	-18,9				65	3,8		4,8	
US0001	30/01/1980	-11,7	-15				80	4,7		12,7	
US0001	31/01/1980	-12,8	-22,2				83	3,8		4,7	
US0001	01/02/1980	-8,9	-23,3				80	3		6,7	
US0001	02/02/1980	-5	-12,8				88	4,1		10,8	
