,Department,caseA,caseB
0,Abalak,182.0,192.35714285714286
1,Aguié,166.7017543859649,163.72527472527472
2,Boboye,145.83333333333334,147.2566371681416
3,Bouza,133.59259259259258,144.07894736842104
4,Dakoro,173.63934426229508,175.03174603174602
5,Diffa,155.94915254237287,165.24096385542168
6,Dogondoutchi,135.45454545454547,135.97560975609755
7,Dosso,157.29577464788733,151.125
8,Filingué,165.78,180.06
9,Gaya,145.28125,148.5344827586207
10,Gouré,171.41176470588235,180.64285714285714
11,Guidan Roumdji,151.8548387096774,166.54594594594596
12,Illéla,143.45454545454547,154.88059701492537
13,Keita,148.7,163.98947368421054
14,Kollo,143.16981132075472,148.06172839506172
15,Loga,159.58474576271186,161.612
16,Madaoua,139.14705882352942,147.67857142857142
17,Madarounfa,136.61111111111111,143.10638297872342
18,Magaria,149.9344262295082,163.60416666666666
19,Maïné Soroa,171.28571428571428,178.54368932038835
20,Matameye,151.94736842105263,163.98305084745763
21,Mayahi,172.02083333333334,175.00943396226415
22,Mirriah,154.2875,163.7832699619772
23,Ville de Niamey,139.77777777777777,149.19230769230768
24,Ouallam,169.61290322580646,186.51282051282053
25,Say,135.30769230769232,142.52941176470588
26,Ville de Tahoua,154.1153846153846,161.28395061728395
27,Tanout,155.62765957446808,171.85849056603774
28,Tchintabaraden,159.3030303030303,174.59722222222223
29,Tchirozerine,182.0,192.42857142857142
30,Tessaoua,164.1764705882353,167.28571428571428
31,Tillabéri,166.83333333333334,178.6875
32,Téra,142.5072463768116,151.80392156862746
